ID_BRANCH,NAME,STREET,NEIGHBORHOOD,CITY,STATE,POSTAL_CODE,BUSSINESS_HOURS,LATITUDE,LONGITUDE
3,OFFICE JITWJ MNG,Huxley,NEIGHBOURHOOD,CITY,Mexico,51690,09:00 a.m to 16:00 p.m.,19.3579802,-99.0806088
6,OFFICE RDUGX,Debra,NEIGHBOURHOOD,CITY,Mexico,53570,09:00 a.m to 16:00 p.m.,19.4511972,-99.2401069
9,OFFICE SSVS BBTVR,Farmco,NEIGHBOURHOOD,CITY,Mexico,56190,09:00 a.m to 16:00 p.m.,19.5056005,-98.882461
12,OFFICE LDT ,Granby,NEIGHBOURHOOD,CITY,Mexico,52060,09:00 a.m to 16:00 p.m.,19.4805668,-99.2058279
15,OFFICE UGKLS ,Petterle,NEIGHBOURHOOD,CITY,Mexico,55635,09:00 a.m to 16:00 p.m.,19.602311,-99.1732936
18,OFFICE MEFR,Truax,NEIGHBOURHOOD,CITY,Mexico,51462,09:00 a.m to 16:00 p.m.,32.4937455,-116.9552547
21,OFFICE NQHK ,Everett,NEIGHBOURHOOD,CITY,Mexico,51950,09:00 a.m to 16:00 p.m.,19.782027,-99.0598732
24,OFFICE YQ FSEGD,Atwood,NEIGHBOURHOOD,CITY,Mexico,51247,09:00 a.m to 16:00 p.m.,19.6402143,-99.0654022
27,OFFICE OFPUP,Nova,NEIGHBOURHOOD,CITY,Mexico,55690,09:00 a.m to 16:00 p.m.,17.7409147,-91.7660525
30,OFFICE ZOEFE ,Vidon,NEIGHBOURHOOD,CITY,Mexico,55635,09:00 a.m to 16:00 p.m.,19.602311,-99.1732936
33,OFFICE ETAZX,Lawn,NEIGHBOURHOOD,CITY,Mexico,52105,09:00 a.m to 16:00 p.m.,19.2814128,-99.5409261
36,OFFICE AN ,Bunting,NEIGHBOURHOOD,CITY,Mexico,56528,09:00 a.m to 16:00 p.m.,19.3852368,-98.9545512
39,OFFICE HVLDK,Forest Dale,NEIGHBOURHOOD,CITY,Mexico,55718,09:00 a.m to 16:00 p.m.,19.638192,-99.079824
42,OFFICE NKR ABD,Reinke,NEIGHBOURHOOD,CITY,Mexico,56190,09:00 a.m to 16:00 p.m.,19.5056005,-98.882461
45,OFFICE ED XGU,Milwaukee,NEIGHBOURHOOD,CITY,Mexico,51690,09:00 a.m to 16:00 p.m.,19.3579802,-99.0806088
48,OFFICE XQJDFCPK,Anthes,NEIGHBOURHOOD,CITY,Mexico,50090,09:00 a.m to 16:00 p.m.,19.2926509,-99.6487518
51,OFFICE SZWWQ,Merry,NEIGHBOURHOOD,CITY,Mexico,51690,09:00 a.m to 16:00 p.m.,19.3579802,-99.0806088
54,OFFICE SS NDBGE,Bluestem,NEIGHBOURHOOD,CITY,Mexico,55718,09:00 a.m to 16:00 p.m.,19.638192,-99.079824
57,OFFICE HJH IHUG,Summit,NEIGHBOURHOOD,CITY,Mexico,51950,09:00 a.m to 16:00 p.m.,19.782027,-99.0598732
60,OFFICE WDIFZ WUD,Forest Dale,NEIGHBOURHOOD,CITY,Mexico,56568,09:00 a.m to 16:00 p.m.,21.037786,-100.3245306
63,OFFICE AG WJJ,Miller,NEIGHBOURHOOD,CITY,Mexico,54784,09:00 a.m to 16:00 p.m.,25.4166153,-100.1591213
66,OFFICE AI,Haas,NEIGHBOURHOOD,CITY,Mexico,55407,09:00 a.m to 16:00 p.m.,17.9567646,-102.1943485
69,OFFICE OVIW,Mcbride,NEIGHBOURHOOD,CITY,Mexico,50625,09:00 a.m to 16:00 p.m.,19.4871158,-99.286528
72,OFFICE RNL ,Longview,NEIGHBOURHOOD,CITY,Mexico,52107,09:00 a.m to 16:00 p.m.,25.6775595,-100.2596935
75,OFFICE AHLVG,Mandrake,NEIGHBOURHOOD,CITY,Mexico,50695,09:00 a.m to 16:00 p.m.,19.2535103,-99.581953
78,OFFICE NK ,Thompson,NEIGHBOURHOOD,CITY,Mexico,51462,09:00 a.m to 16:00 p.m.,19.2540302,-99.6000391
81,OFFICE JXPO,Bunting,NEIGHBOURHOOD,CITY,Mexico,56528,09:00 a.m to 16:00 p.m.,19.3852368,-98.9545512
84,OFFICE GQJEO ACA,Granby,NEIGHBOURHOOD,CITY,Mexico,51462,09:00 a.m to 16:00 p.m.,19.2540302,-99.6000391
87,OFFICE HSQ IOQK,Shopko,NEIGHBOURHOOD,CITY,Mexico,50625,09:00 a.m to 16:00 p.m.,19.4871158,-99.286528
90,OFFICE DG,South,NEIGHBOURHOOD,CITY,Mexico,52140,09:00 a.m to 16:00 p.m.,19.2586779,-99.1075731
93,OFFICE YAMY,Coolidge,NEIGHBOURHOOD,CITY,Mexico,52740,09:00 a.m to 16:00 p.m.,18.1096868,-95.8803869
96,OFFICE STWET SP,Delaware,NEIGHBOURHOOD,CITY,Mexico,54783,09:00 a.m to 16:00 p.m.,19.7605927,-99.1476908
99,OFFICE BYQU,Green,NEIGHBOURHOOD,CITY,Mexico,52740,09:00 a.m to 16:00 p.m.,18.1096868,-95.8803869
102,OFFICE NRRZE,Kingsford,NEIGHBOURHOOD,CITY,Mexico,54730,09:00 a.m to 16:00 p.m.,19.6632775,-99.2058279
105,OFFICE LXVZ SI,Canary,NEIGHBOURHOOD,CITY,Mexico,51462,09:00 a.m to 16:00 p.m.,19.2540302,-99.6000391
108,OFFICE GKFX,High Crossing,NEIGHBOURHOOD,CITY,Mexico,54455,09:00 a.m to 16:00 p.m.,19.7899891,-99.6684882
111,OFFICE ZTNU ,Dwight,NEIGHBOURHOOD,CITY,Mexico,56568,09:00 a.m to 16:00 p.m.,21.037786,-100.3245306
114,OFFICE IAS DXLV,3rd,NEIGHBOURHOOD,CITY,Mexico,56617,09:00 a.m to 16:00 p.m.,19.3004022,-98.9341937
117,OFFICE MNI IHGF,Pennsylvania,NEIGHBOURHOOD,CITY,Mexico,52140,09:00 a.m to 16:00 p.m.,19.2586779,-99.1075731
120,OFFICE UUNBXABGQ,Brown,NEIGHBOURHOOD,CITY,Mexico,51247,09:00 a.m to 16:00 p.m.,19.6402143,-99.0654022
123,OFFICE TBRER YFPR,Heffernan,NEIGHBOURHOOD,CITY,Mexico,51700,09:00 a.m to 16:00 p.m.,19.3579802,-99.0806088
126,OFFICE DWDL RUX,Spaight,NEIGHBOURHOOD,CITY,Mexico,54455,09:00 a.m to 16:00 p.m.,19.7899891,-99.6684882
129,OFFICE WUWZYEAJ,Lake View,NEIGHBOURHOOD,CITY,Mexico,55407,09:00 a.m to 16:00 p.m.,17.9567646,-102.1943485
132,OFFICE AZLQFLFO,Melody,NEIGHBOURHOOD,CITY,Mexico,51950,09:00 a.m to 16:00 p.m.,19.782027,-99.0598732
135,OFFICE SATIO,Gale,NEIGHBOURHOOD,CITY,Mexico,50090,09:00 a.m to 16:00 p.m.,19.2926509,-99.6487518
138,OFFICE TTR CP,Porter,NEIGHBOURHOOD,CITY,Mexico,53580,09:00 a.m to 16:00 p.m.,19.4416194,-99.2473801
141,OFFICE DZ ,Farragut,NEIGHBOURHOOD,CITY,Mexico,51462,09:00 a.m to 16:00 p.m.,19.2540302,-99.6000391
144,OFFICE QUGF ,Bunker Hill,NEIGHBOURHOOD,CITY,Mexico,54730,09:00 a.m to 16:00 p.m.,19.6632775,-99.2058279
147,OFFICE PPD WKB,Eggendart,NEIGHBOURHOOD,CITY,Mexico,51462,09:00 a.m to 16:00 p.m.,32.4937455,-116.9552547
150,OFFICE UMGW ,Westport,NEIGHBOURHOOD,CITY,Mexico,54783,09:00 a.m to 16:00 p.m.,19.7605927,-99.1476908
153,OFFICE KAYZP,Dahle,NEIGHBOURHOOD,CITY,Mexico,52105,09:00 a.m to 16:00 p.m.,19.2814128,-99.5409261
156,OFFICE WAPN KYGGR,Independence,NEIGHBOURHOOD,CITY,Mexico,56617,09:00 a.m to 16:00 p.m.,19.3004022,-98.9341937
159,OFFICE LDCIW,Oxford,NEIGHBOURHOOD,CITY,Mexico,51700,09:00 a.m to 16:00 p.m.,19.3579802,-99.0806088
162,OFFICE NZVHKRVZS,Brickson Park,NEIGHBOURHOOD,CITY,Mexico,56568,09:00 a.m to 16:00 p.m.,21.037786,-100.3245306
165,OFFICE UCMDNQDL,Katie,NEIGHBOURHOOD,CITY,Mexico,51247,09:00 a.m to 16:00 p.m.,19.6402143,-99.0654022
168,OFFICE CUIHAF,Laurel,NEIGHBOURHOOD,CITY,Mexico,52740,09:00 a.m to 16:00 p.m.,18.1096868,-95.8803869
171,OFFICE PRNFQ MQAAL,Village Green,NEIGHBOURHOOD,CITY,Mexico,54932,09:00 a.m to 16:00 p.m.,19.6612408,-99.0795719
174,OFFICE LIE NVDVA,Trailsway,NEIGHBOURHOOD,CITY,Mexico,53580,09:00 a.m to 16:00 p.m.,19.4416194,-99.2473801
177,OFFICE ZNQRC ,Menomonie,NEIGHBOURHOOD,CITY,Mexico,54414,09:00 a.m to 16:00 p.m.,19.6267726,-99.2993504
180,OFFICE HOR ,Stone Corner,NEIGHBOURHOOD,CITY,Mexico,55718,09:00 a.m to 16:00 p.m.,19.638192,-99.079824
183,OFFICE DEBKDSM,Butternut,NEIGHBOURHOOD,CITY,Mexico,52060,09:00 a.m to 16:00 p.m.,19.4805668,-99.2058279
186,OFFICE UQRPMCXD,Longview,NEIGHBOURHOOD,CITY,Mexico,57000,09:00 a.m to 16:00 p.m.,19.4102526,-99.0073673
189,OFFICE FWI EC,Esker,NEIGHBOURHOOD,CITY,Mexico,51372,09:00 a.m to 16:00 p.m.,19.6775122,-99.0329594
192,OFFICE FVOVD,Almo,NEIGHBOURHOOD,CITY,Mexico,56528,09:00 a.m to 16:00 p.m.,19.3852368,-98.9545512
195,OFFICE KPVRR XWHU,7th,NEIGHBOURHOOD,CITY,Mexico,51462,09:00 a.m to 16:00 p.m.,32.4937455,-116.9552547
198,OFFICE HAB,Bunker Hill,NEIGHBOURHOOD,CITY,Mexico,54730,09:00 a.m to 16:00 p.m.,19.6632775,-99.2058279
201,OFFICE FFTRZ,Gerald,NEIGHBOURHOOD,CITY,Mexico,51700,09:00 a.m to 16:00 p.m.,19.3579802,-99.0806088
204,OFFICE DM,Trailsway,NEIGHBOURHOOD,CITY,Mexico,51247,09:00 a.m to 16:00 p.m.,19.6402143,-99.0654022
207,OFFICE GP KUUKJ,Straubel,NEIGHBOURHOOD,CITY,Mexico,56030,09:00 a.m to 16:00 p.m.,19.5531189,-98.8755659
210,OFFICE CLSB ,Riverside,NEIGHBOURHOOD,CITY,Mexico,51700,09:00 a.m to 16:00 p.m.,19.3579802,-99.0806088
213,OFFICE BJLMBGZG,Buena Vista,NEIGHBOURHOOD,CITY,Mexico,56568,09:00 a.m to 16:00 p.m.,21.037786,-100.3245306
216,OFFICE VWWSH,Cottonwood,NEIGHBOURHOOD,CITY,Mexico,51690,09:00 a.m to 16:00 p.m.,19.3579802,-99.0806088
219,OFFICE JZMQLKZRSC,Helena,NEIGHBOURHOOD,CITY,Mexico,51009,09:00 a.m to 16:00 p.m.,25.5822549,-100.9086492
222,OFFICE JXQUD,Bunker Hill,NEIGHBOURHOOD,CITY,Mexico,52740,09:00 a.m to 16:00 p.m.,18.1096868,-95.8803869
225,OFFICE JAZJAOFF,Prairie Rose,NEIGHBOURHOOD,CITY,Mexico,54932,09:00 a.m to 16:00 p.m.,19.6612408,-99.0795719
228,OFFICE ROB DR,Clyde Gallagher,NEIGHBOURHOOD,CITY,Mexico,54414,09:00 a.m to 16:00 p.m.,19.6267726,-99.2993504
231,OFFICE IKALJE,Sunnyside,NEIGHBOURHOOD,CITY,Mexico,51372,09:00 a.m to 16:00 p.m.,19.6775122,-99.0329594
234,OFFICE ZS ,Spenser,NEIGHBOURHOOD,CITY,Mexico,56617,09:00 a.m to 16:00 p.m.,19.3004022,-98.9341937
237,OFFICE OA,Stephen,NEIGHBOURHOOD,CITY,Mexico,54932,09:00 a.m to 16:00 p.m.,19.6612408,-99.0795719
240,OFFICE YYTQQRAO,Manitowish,NEIGHBOURHOOD,CITY,Mexico,52105,09:00 a.m to 16:00 p.m.,19.2814128,-99.5409261
243,OFFICE AB,Drewry,NEIGHBOURHOOD,CITY,Mexico,51462,09:00 a.m to 16:00 p.m.,32.4937455,-116.9552547
246,OFFICE XHXQ ,Anniversary,NEIGHBOURHOOD,CITY,Mexico,51950,09:00 a.m to 16:00 p.m.,19.782027,-99.0598732
249,OFFICE UAB ,Cascade,NEIGHBOURHOOD,CITY,Mexico,54784,09:00 a.m to 16:00 p.m.,25.4166153,-100.1591213
252,OFFICE OWXJ,Barby,NEIGHBOURHOOD,CITY,Mexico,51355,09:00 a.m to 16:00 p.m.,17.7409147,-91.7660525
255,OFFICE SM PRQ,Carey,NEIGHBOURHOOD,CITY,Mexico,51462,09:00 a.m to 16:00 p.m.,32.4937455,-116.9552547
258,OFFICE RFDRGJD,Donald,NEIGHBOURHOOD,CITY,Mexico,51372,09:00 a.m to 16:00 p.m.,19.6775122,-99.0329594
261,OFFICE JUKOP,Bellgrove,NEIGHBOURHOOD,CITY,Mexico,54455,09:00 a.m to 16:00 p.m.,19.7899891,-99.6684882
264,OFFICE GYX LOPY,Nobel,NEIGHBOURHOOD,CITY,Mexico,52600,09:00 a.m to 16:00 p.m.,19.5576165,-99.1393889
267,OFFICE BUB ,Melrose,NEIGHBOURHOOD,CITY,Mexico,52740,09:00 a.m to 16:00 p.m.,18.1096868,-95.8803869
270,OFFICE STSPCPLHF,Warbler,NEIGHBOURHOOD,CITY,Mexico,51355,09:00 a.m to 16:00 p.m.,17.7409147,-91.7660525
273,OFFICE XNZTB ,1st,NEIGHBOURHOOD,CITY,Mexico,52600,09:00 a.m to 16:00 p.m.,19.5576165,-99.1393889
276,OFFICE VI ,Dawn,NEIGHBOURHOOD,CITY,Mexico,56564,09:00 a.m to 16:00 p.m.,19.3267846,-98.9145313
279,OFFICE GVHDDFOE,Straubel,NEIGHBOURHOOD,CITY,Mexico,57000,09:00 a.m to 16:00 p.m.,19.4102526,-99.0073673
282,OFFICE SK ,Claremont,NEIGHBOURHOOD,CITY,Mexico,53580,09:00 a.m to 16:00 p.m.,19.4416194,-99.2473801
285,OFFICE YCRLA ,Petterle,NEIGHBOURHOOD,CITY,Mexico,51247,09:00 a.m to 16:00 p.m.,19.6402143,-99.0654022
288,OFFICE DNMXP ,Namekagon,NEIGHBOURHOOD,CITY,Mexico,51950,09:00 a.m to 16:00 p.m.,19.782027,-99.0598732
291,OFFICE IDS,Debs,NEIGHBOURHOOD,CITY,Mexico,55718,09:00 a.m to 16:00 p.m.,19.638192,-99.079824
294,OFFICE ZZVCF EFGBF,Karstens,NEIGHBOURHOOD,CITY,Mexico,57000,09:00 a.m to 16:00 p.m.,19.4102526,-99.0073673
297,OFFICE JLEQR,Thompson,NEIGHBOURHOOD,CITY,Mexico,56700,09:00 a.m to 16:00 p.m.,19.2000657,-98.8016731
300,OFFICE KCCET ,Mosinee,NEIGHBOURHOOD,CITY,Mexico,54455,09:00 a.m to 16:00 p.m.,19.7899891,-99.6684882
